N_Nos_Layer1;N_Nos_Layer2;N_Nos_Layer3;EPOCAS;MSE;RMSE;MAE;MAPE;Duracao
100;100;100;200;76562.33882209235;276.69900401355324;136.23803872269582;2.205395990430923;145.52181887626648
100;100;98;200;70116.92722467653;264.7960105905611;131.05670823877517;2.144180174639694;157.83054161071777
100;100;96;200;71055.30291595293;266.5620057621733;121.98973697514975;2.0794258896538067;172.42247700691223
100;100;94;200;63058.916240338156;251.11534449399574;92.97369338151975;1.8253837583603494;149.00435209274292
100;100;92;200;67086.08753206482;259.00982130426024;95.16517860947988;1.8571605605647488;157.28272676467896
100;100;90;200;75653.86902609753;275.05248413002477;127.70629805430508;2.1347710081713185;143.54708075523376
100;100;88;200;73368.15623897393;270.86556857410636;117.90348477645966;2.0600416386798406;154.73344945907593
100;100;86;200;74660.91851919368;273.241502190267;87.69388078289967;1.8059715470757007;163.83845853805542
100;100;84;200;72215.78699764899;268.72995180598866;123.70401646878508;2.0996146536717575;164.2582995891571
100;100;82;200;61313.032025260916;247.6146845913241;87.61048445043525;1.775545202890301;171.0566885471344
100;100;80;200;60869.627850969075;246.71770883130597;91.9967094389649;1.8160729878583157;163.0676567554474
100;100;78;200;65472.57144556531;255.87608611506724;127.03307893941019;2.071087323603557;159.01557755470276
100;100;76;200;65288.60200204821;255.51634390396285;107.53845669552447;1.95065104125203;159.376722574234
100;100;74;200;61848.30363301157;248.6931917705259;91.16398208051987;1.8227808929270366;163.85772943496704
100;100;72;200;82289.0514281231;286.86068295973064;148.6647221643252;2.3826857592382877;156.7673065662384
100;100;70;200;59617.278448102035;244.1664973908215;88.03898796070007;1.7841808483796753;169.31624841690063
100;100;68;200;71064.70923862763;266.57964895810716;120.97465242576527;2.0730204474643426;171.76364994049072
100;100;66;200;67382.29410989727;259.5809972049134;133.04551464871565;2.1291876460687087;167.8361668586731
100;100;64;200;63488.62257813611;251.96948739507351;87.86693796427971;1.790809504711345;190.0456187725067
100;100;62;200;70013.9418424647;264.60147740038167;110.39627343104985;1.9932376750259433;181.44110083580017
100;100;60;200;70445.67712276138;265.41604533780804;128.47300518633983;2.1171343156411644;181.1658797264099
100;100;58;200;66060.54621922367;257.02246247988455;106.94750657324948;1.9600996304846396;182.78737664222717
100;100;56;200;66678.95731251329;258.22268938362737;126.07768338332062;2.0844490814740304;189.25775814056396
100;100;54;200;62623.49422562738;250.24686656505287;94.84816995635992;1.82547904903649;168.94859957695007
100;100;52;200;69046.90087559384;262.7677698569477;116.6854553681751;2.0138087999244103;169.45116901397705
100;100;50;200;67385.30437236265;259.5867954506982;109.88783631042043;1.9837246218857252;178.14335441589355
100;100;48;200;70209.59692395784;264.9709359985692;115.4440639272998;2.0387832807207253;187.47861886024475
100;100;46;200;66694.6670979683;258.25310665695446;114.38650993192505;2.015039325692277;201.38024973869324
100;100;44;200;68293.38235296737;261.33002573942275;125.59196812748996;2.0953548075840915;206.0001881122589
100;100;42;200;63327.63195237744;251.6498200920824;93.1365344850501;1.8558036483535725;206.34993600845337
100;100;40;200;68628.57379891755;261.9705590308147;107.5324423132106;1.9767494575437448;186.63219285011292
