SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;MAPE_SVR-LSTM;Duration
1;3-Week;ARIMA1;3;302645886,1;17396,72;10687,79;14,16;0,2;200,23;13,7
4;3-Week;ARIMA1;2;230099607;15169,03;8666,13;10,09;0,2;18,59;11,4
5;3-Week;ARIMA1;5;290432408,1;17042,08;7273,33;5,25;0,3;13,51;8,7
6;3-Week;ARIMA2;6;23600185,42;4858;1479,35;3,39;0,4;12,05;8,2
7;3-Week;ARIMA1;5;97862259,83;9892,54;5730,86;6,75;0,4;13,05;11,2
8;3-Week;ARIMA2;6;15436962,88;3928,99;1501,82;4,83;0,5;13,29;9,4
9;3-Week;SVR;4;150011037,4;12247,9;7421,06;22,15;0,2;22,72;7,9
11;3-Week;ARIMA1;3;256936416,9;16029,24;6614,21;4,84;0,2;12,11;7,7
12;3-Week;ARIMA2;2;35075147,17;5922,43;2320,72;4,31;0,3;12,05;11,1
13;3-Week;ARIMA1;2;13030952288;114153,2;73111,17;20,22;1;135,98;11,8
